Archaeological structures,Country,Administration (1st level),Administration (2nd level),Structure type,Millennium BCE,Item type,Raw material,Total items
Prado de la Nava,Spain,Salamanca,Salvatierra de Tormes,Passage grave,4th-3rd,Bead,Rock,20
Prado de las Cruces,Spain,Ávila,Ávila,Passage grave,3rd,Bead,Ivory,1
Prado de las Cruces,Spain,Ávila,Ávila,Passage grave,3rd,Bead,Lignite,1
Prado de las Cruces,Spain,Ávila,Ávila,Passage grave,3rd,Bead,Rock,1557
Pragança,Portugal,Lisboa,Cadaval-Lamas e Cercal,Domestic,2nd,Bead,Amber,4
Praia da Samarra,Portugal,Lisboa,Sintra - São João das Lampas e Terrugem,Tholos,3rd-2th,Bead,Shell,39
Precevo-Boka,Serbia,Kosovo,Klina,Necropolis,Undefined,Bead,Amber,9
Promontory Henllan,Wales,Ceredigion,Henllan,,1st,Bead,Amber,1
Prosymna,Greece,Argolis,Prosymna,,2nd,Undefined,Amber,9
Pötréte,Hungary,Zala,Pötréte,,2nd-1st,Bead,Amber,10
Quinta do Marcelo,Portugal,Setúbal,Almada - Almada-Cova da Piedade-Pragal e Cacilhas,Domestic,2nd,Bead,Amber,1
Radwell Ring-ditch II,England,Hertfordshire,Radwell,,2nd,Bead,Amber,1
Reguero Seco,Spain,León,Cistierna,Domestic,2nd,Bead,Rock,1
Regöly - Kesziállás,Hungary,Tolna,Regöly,,2nd-1st,Bead,Amber,17
River Thames at Runnymede Bridge,England,Berkshire,Egham,,2nd-1st,Bead,Amber,20
Rocher de Comboire,France,Isère,Claix,,Undefined,Bead,Amber,3
Rochford,England,Lincolnshire,Stoke Rochford,,3rd-1st,Bead,Amber,11
Saint-Fiacre-en-Melran,France,Morbihan,Melrand,,Undefined,Pendant,Amber,1
Saint-Rémy-de-Provence,France,Bouches-du-Rhône,Saint-Rémy-de-Provence,,Undefined,Bead,Amber,1
Salisbury Plain,England,Wiltshire,Shrewton,Barrow,3rd-1st,Bead,Amber,1
San Adrián,Spain,Zamora,Granucillo,Chamber,4th-3rd,Bead,Rock,8
Schelmen - Hofstadt,France,Bas-Rhin,Haguenau,,Undefined,Pendant,Amber,1
Scratchbury Barrow G1,England,Wiltshire,Norton Bavant,Barrow,3rd-1st,Bead,Amber,16
Scratchbury Barrow G1,England,Wiltshire,Norton Bavant,Barrow,3rd-1st,Ring,Amber,1
Sculptor's Cave,Scotland,Moray,Elgin,Natural cave,2nd-1st,Bead,Amber,7
Sepulcre de Bullons,Spain,Lleida,Riner,,Undefined,Bead,Amber,2
Sepulcro I de El Bosc,Spain,Barcelona,L´Espunyola,,Undefined,Bead,Amber,19
Sepulcro de Can Cuca,Spain,Lleida,Pinós,,Undefined,Bead,Amber,1
Sepulcro de Can Rajolí,Spain,Lleida,Olius,Cist,4th,Bead,Amber,1
Sepulcro de Pedra Cabana,Spain,Lleida,Cabó,,Undefined,Bead,Amber,2
Sepulcro de la Pera,Spain,Lleida,Pinós,,Undefined,Bead,Amber,1
Sepulcro del Collet,Spain,Lleida,Riner,,Undefined,Bead,Amber,1
Sepulture Lesconil,France,Finistère,Plobannalec-Lesconil,,Undefined,Spacer,Amber,2
Serre de Bouisset,France,Hérault,Ferrières-les-Verreries,Necropolis,Undefined,Bead,Amber,1
Shaft Grave Omicron,Greece,Argolis,Mykines,Natural cave,1st,Bead,Amber,119
Shaft Grave Omicron,Greece,Argolis,Mykines,Natural cave,1st,Spacer,Amber,3
Sigottier,France,Hautes-Alpes,Sigottier,Natural cave,Undefined,Spacer,Amber,1
Snail Down - Barrow G5,England,Wiltshire,Collingbourne Ducis,Barrow,3rd-1st,Bead,Amber,3
Snail Down - Barrow G8,England,Wiltshire,Collingbourne Ducis,Barrow,3rd-1st,Bead,Amber,2
Sorel-Moussel,France,Eure-et-Loir,Sorel-Moussel,,Undefined,Bead,Amber,5
Sorel-Moussel,France,Eure-et-Loir,Sorel-Moussel,,Undefined,Raw material,Amber,1
Stanfordbury burial B,England,Bedfordshire,Stanford,Barrow,1st,Bead,Amber,3
Steep Lowe,England,Staffordshire,Alstonefield,,3rd-2nd,Button,Amber,1
Szoreg,Hungary,Csongrád-Csanád,Sz?reg,,3rd-1st,Bead,Amber,11
São Paulo 2,Portugal,Setúbal,Almada - Almada Cova da Piedade Pragal e Cacilhas,Tholos,3rd,Bead,Amber,2
São Paulo 2,Portugal,Setúbal,Almada - Almada Cova da Piedade Pragal e Cacilhas,Tholos,3rd,Bead,Shell,316
Tap O'Noth hillfort,Scotland,Aberdeenshire,Rhynie,,Undefined,Bead,Amber,1
Teikhos Dymaion,Greece,Achaea,Araxos,,2nd,Undefined,Amber,1
Tesoro de Villena,Spain,Alacant,Villena,,Undefined,Fragment,Amber,1
Thapsos,Italy,Sicily,Priolo Gargallo,,Undefined,Bead,Amber,1
The Golden Barrow,England,Wiltshire,Boyton,Barrow,3rd-1st,Bead,Amber,350
The Golden Barrow,England,Wiltshire,Boyton,Barrow,3rd-1st,Spacer,Amber,8
Tholos Kakovatos A,Greece,Elis,Kakovatos,Tholos,Undefined,Bead,Amber,500
Tholos Kakovatos A,Greece,Elis,Kakovatos,Tholos,Undefined,Pendant,Amber,10
Tholos Kakovatos A,Greece,Elis,Kakovatos,Tholos,Undefined,Spacer,Amber,15
Tholos Kakovatos B,Greece,Elis,Kakovatos,Tholos,Undefined,Bead,Amber,1
Tholos Kakovatos C,Greece,Elis,Kakovatos,Tholos,Undefined,Bead,Amber,8
Tholos de La Pastora,Spain,Sevilla,Valencina de la Concepción,Tholos,3rd,Bead,Amber,1
Tholos de Montelirio,Spain,Sevilla,Castilleja de Guzmán,Tholos,3rd,Bead,Amber,254
Tholos de Palacio III,Spain,Sevilla,Almadén de la Plata,Tholos,Undefined,Bead,Amber,12
Tholos de Palacio III,Spain,Sevilla,Almadén de la Plata,Tholos,Undefined,Fragment,Amber,1
Thor Fissure Cave,England,Derbyshire,'-,Natural cave,3rd-2nd,Bead,Amber,6
Tierras Lineras,Spain,Salamanca,La Mata de Ledesma,Domestic,3rd,Bead,Rock,2
Tiszakeszi - Szódadomb,Hungary,Borsod-Abaúj-Zemplén,Tiszakeszi,,2nd,Bead,Amber,4
Tor Mead,England,Wiltshire,Great Bedwyn,,3rd-1st,Bead,Amber,1
Tor Mead,England,Wiltshire,Great Bedwyn,,3rd-1st,Button,Amber,1
Trikuaizti I,Spain,Guipúzcoa - Gipuzkoa,Beasain,Dolmen,Undefined,Bead,Amber,1
Trinitapoli,Italy,Barletta-Andria-Trani,Trinitapoli,,Undefined,Bead,Amber,1
Trinitapoli,Italy,Barletta-Andria-Trani,Trinitapoli,,Undefined,Fragment,Amber,2
Tumulus Rosshire,Scotland,Highland,Edderton,Barrow,Undefined,Bead,Amber,1
Tumulus de Kernonen,France,Finistère,Plouvorn,,Undefined,Archery bracelet,Amber,1
Tumulus de La Fôret,France,Bas-Rhin,Haguenau,,Undefined,Spacer,Amber,3
Tumulus du Ballon,France,Pas-de-Calais,Wimereux,,Undefined,Button,Amber,1
Ty Mawr Farm,Wales,Gwynedd,Brecon,,2nd-1st,Bead,Amber,5
Túmulo de St Fiacre,France,Morbihan,Melrand,,Undefined,Bead,Amber,1
Ulrome,England,Yorkshire - East Riding,Ulrome,,1st,Ring,Amber,1
Valdefinjas,Spain,Zamora,Valdefinjas,,Undefined,Bead,Rock,4
Valle de las Higueras 1,Spain,Toledo,Huecas,Artificial cave,3rd,Bead,Amber,3
Valle de las Higueras 3,Spain,Toledo,Huecas,Artificial cave,3rd,Bead,Amber,1
Valsavoia,Italy,Sicily,Lentini,,Undefined,Bead,Amber,1
Villevenard,France,Marne,Villevenard,Hypogeum,3rd,Bead,Amber,1
Westbury Ironworks,England,Wiltshire,Westbury,,2nd-1st,Bead,Amber,1
Whitegrounds round barrow,England,North Yorkshire,Burythorpe,,5th-4th,Bead,Amber,1
Wick Farm - Ring ditch 16,England,Oxfordshire,Charney Bassett,Barrow,3rd-1st,Bead,Amber,3
Wigberlow barrow,England,Derbyshire,Litton,Barrow,3rd-1st,Ring,Amber,1
Wilsford Shaft - Normanton Down,England,Wiltshire,Wilsford cum Lake,Barrow,3rd-1st,Bead,Amber,5
Winterslow barrow JFSS3,England,Wiltshire,West Winterslow,Barrow,3rd-1st,Button,Amber,22
Xanton - Chassenon,France,Vendée,Xanton-Chassenon,,Undefined,Undefined,Amber,1
Zakynthos,Greece,Ionian Islands,Zákynthos,,2nd,Undefined,Amber,11
Zambujal,Portugal,Lisboa,Torres Vedras - Santa Maria-São Miguel e Matacães,Domestic,3rd,Bead,Shell,1
