id,id,structure,country,adm1,adm2,struc_type,millennium
ENG0026,43,Barrow G5J - Netdown group,England,Wiltshire,Shrewton,Barrow,3rd-2nd
ENG0027,44,Barrow G67 - Winterbourne Stoke Wst Group,England,Wiltshire,Winterbourne Stoke,Barrow,3rd-2nd
ENG0028,45,Barrow G68,England,Wiltshire,Durrington,Barrow,3rd-2nd
ENG0029,41,Barrow G7 - Normanton Group,England,Wiltshire,Salisbury,Barrow,3rd-2nd
ENG0030,41,Barrow G8 - Normanton Group,England,Wiltshire,Salisbury,Barrow,3rd-2nd
CNS597-1,285,Perdigões - T1,Portugal,Évora,Reguengos de Monsaraz - Reguengos de Monsaraz,Tholos,3rd
ENG0071,330,Snail Down - Barrow G5,England,Wiltshire,Collingbourne Ducis,Barrow,3rd-1st
ENG0072,330,Snail Down - Barrow G8,England,Wiltshire,Collingbourne Ducis,Barrow,3rd-1st
ENG0073,332,Stanfordbury burial B,England,Bedfordshire,Stanford ,Barrow,1st
HUN0016,334,Szoreg,Hungary,Csongrád-Csanád,Sz?reg ,,3rd-1st
SCO0160,335,Tap O'Noth hillfort,Scotland,Aberdeenshire,Rhynie ,,Undefined
GRE0025,336,Teikhos Dymaion,Greece,Achaea,Araxos,,2nd
ENG0075,339,The Golden Barrow,England,Wiltshire,Boyton,Barrow,3rd-1st
AND08003,340,Tholos de La Pastora,Spain,Sevilla,Valencina de la Concepción,Tholos,3rd
AND08016,341,Tholos de Montelirio,Spain,Sevilla,Castilleja de Guzmán,Tholos,3rd
CL04008,345,Tierras Lineras,Spain,Salamanca,La Mata de Ledesma,Domestic,3rd
PV03004,348,Trikuaizti I,Spain,Guipúzcoa - Gipuzkoa,Beasain,Dolmen,Undefined
SCO0001,1,Adabrock,Scotland,Na h-Eileanan Siar,Ness (Isle of Lewis),Barrow,Undefined
CNS3512,3,Alcalar 3,Portugal,Faro,Portimao - Mexilhoeira Grande,Tholos,3rd
ITA0019,338,Thapsos,Italy,Sicily,Priolo Gargallo,,Undefined
HUN0017,346,Tiszakeszi - Szódadomb,Hungary,Borsod-Abaúj-Zemplén,Tiszakeszi,,2nd
ENG0077,347,Tor Mead,England,Wiltshire,Great Bedwyn,,3rd-1st
ITA0013,349,Trinitapoli,Italy,Barletta-Andria-Trani,Trinitapoli,,Undefined
TUR0001,2,Alalakh,Turkey,Hatay Province,Varisli,,2nd
FRA0084,350,Túmulo de St Fiacre,France,Morbihan,Melrand,,Undefined
FRA0085,351,Tumulus de Kernonen,France,Finistère,Plouvorn,,Undefined
FRA0086,352,Tumulus de La Fôret,France,Bas-Rhin,Haguenau,,Undefined
FRA0087,353,Tumulus du Ballon,France,Pas-de-Calais,Wimereux,,Undefined
CNS7234,3,Alcalar 4,Portugal,Faro,Portimao - Mexilhoeira Grande,Tholos,3rd
CL04007,4,Aldea del Teriñuelo,Spain,Salamanca,Aldeavieja de Tormes,Passage grave,4th-3rd
CL01001,5,Aldeagordillo,Spain,Ávila,Ávila,Domestic,3rd
SCO0018,354,Tumulus Rosshire,Scotland,Highland,Edderton,Barrow,Undefined
ENG0081,362,Wick Farm - Ring ditch 16,England,Oxfordshire,Charney Bassett,Barrow,3rd-1st
ENG0082,363,Wigberlow barrow,England,Derbyshire,Litton,Barrow,3rd-1st
ENG0083,41,Wilsford Shaft - Normanton Down,England,Wiltshire,Wilsford cum Lake,Barrow,3rd-1st
ENG0084,364,Winterslow barrow JFSS3,England,Wiltshire,West Winterslow,Barrow,3rd-1st
CNS1773,368,Buraca da Moura da Rexaldia (Gruta da Rexaldia),Portugal,Santarém,Torres Novas - Chancelaria,Natural cave,4th-3rd
FRA0058,232,Lann Porz Menech,France,Morbihan,Ploemeur,Cairn,5th-3rd
CLM05002,358,Valle de las Higueras 1,Spain,Toledo,Huecas,Artificial cave,3rd
CLM05003,358,Valle de las Higueras 3,Spain,Toledo,Huecas,Artificial cave,3rd
WAL0006,355,Ty Mawr Farm,Wales,Gwynedd,Brecon,,2nd-1st
ENG0078,356,Ulrome,England,Yorkshire - East Riding,Ulrome ,,1st
CL08013,357,Valdefinjas,Spain,Zamora,Valdefinjas,,Undefined
ITA0015,359,Valsavoia,Italy,Sicily,Lentini,,Undefined
ENG0079,360,Westbury Ironworks,England,Wiltshire,Westbury,,2nd-1st
ENG0080,361,Whitegrounds round barrow,England,North Yorkshire,Burythorpe,,5th-4th
GRE0030,367,Mycenae Aigisthos,Greece,Argolis,Mykines,,2nd
FRA0089,365,Xanton - Chassenon,France,Vendée,Xanton-Chassenon,,Undefined
GRE0029,366,Zakynthos,Greece,Ionian Islands,Zákynthos,,2nd
